filenames,areas,Ap,fx,fy,training
0.jpg,100.473,0.0044097900390625,0.06640625,0.06640625,True
1.jpg,127.88,0.0095367431640625,0.09765625,0.09765625,True
2.jpg,161.82,0.0080718994140625,0.08984375,0.08984375,True
3.jpg,190.003,0.0084228515625,0.09375,0.08984375,False
4.jpg,22.713,0.0025787353515625,0.05078125,0.05078125,True
5.jpg,51.691,0.004150390625,0.06640625,0.0625,True
6.jpg,58.937,0.00494384765625,0.0703125,0.0703125,False
7.jpg,65.467,0.0055084228515625,0.07421875,0.07421875,False
8.jpg,80.999,0.00390625,0.0625,0.0625,True
9.jpg,84.841,0.004669189453125,0.06640625,0.0703125,True
10.jpg,97.013,0.0055084228515625,0.07421875,0.07421875,True
11.jpg,101.217,0.0067291259765625,0.08203125,0.08203125,False
12.jpg,101.217,0.0067291259765625,0.08203125,0.08203125,True
13.jpg,101.217,0.0067291259765625,0.08203125,0.08203125,False
14.jpg,101.217,0.006103515625,0.078125,0.078125,False
15.jpg,101.217,0.006103515625,0.078125,0.078125,False
16.jpg,101.217,0.0067291259765625,0.08203125,0.08203125,True
17.jpg,101.217,0.0067291259765625,0.08203125,0.08203125,True
18.jpg,101.217,0.0067291259765625,0.08203125,0.08203125,False
19.jpg,104.478,0.006103515625,0.078125,0.078125,True
20.jpg,104.478,0.006103515625,0.078125,0.078125,False
21.jpg,104.478,0.006103515625,0.078125,0.078125,False
22.jpg,104.478,0.0055084228515625,0.07421875,0.07421875,True
23.jpg,104.478,0.0055084228515625,0.07421875,0.07421875,True
24.jpg,104.478,0.006103515625,0.078125,0.078125,False
25.jpg,104.478,0.006103515625,0.078125,0.078125,True
26.jpg,104.478,0.006103515625,0.078125,0.078125,True
27.jpg,107.84,0.00738525390625,0.0859375,0.0859375,False
28.jpg,107.84,0.00738525390625,0.0859375,0.0859375,True
29.jpg,107.84,0.0067291259765625,0.08203125,0.08203125,True
30.jpg,107.84,0.0067291259765625,0.08203125,0.08203125,False
31.jpg,107.84,0.00738525390625,0.0859375,0.0859375,False
32.jpg,107.84,0.00738525390625,0.0859375,0.0859375,True
33.jpg,107.84,0.00738525390625,0.0859375,0.0859375,False
34.jpg,107.84,0.00738525390625,0.0859375,0.0859375,False
35.jpg,109.973,0.0067291259765625,0.08203125,0.08203125,False
36.jpg,109.973,0.0067291259765625,0.08203125,0.08203125,True
37.jpg,109.973,0.0067291259765625,0.08203125,0.08203125,False
38.jpg,109.973,0.006103515625,0.078125,0.078125,True
39.jpg,109.973,0.006103515625,0.078125,0.078125,True
40.jpg,109.973,0.0067291259765625,0.08203125,0.08203125,True
41.jpg,109.973,0.0067291259765625,0.08203125,0.08203125,True
42.jpg,109.973,0.0067291259765625,0.08203125,0.08203125,True
43.jpg,114.833,0.006103515625,0.078125,0.078125,True
44.jpg,114.833,0.006103515625,0.078125,0.078125,False
45.jpg,114.833,0.006103515625,0.078125,0.078125,True
46.jpg,114.833,0.0055084228515625,0.07421875,0.07421875,True
47.jpg,114.833,0.0055084228515625,0.07421875,0.07421875,True
48.jpg,114.833,0.006103515625,0.078125,0.078125,False
49.jpg,114.833,0.006103515625,0.078125,0.078125,False
50.jpg,114.833,0.006103515625,0.078125,0.078125,True
51.jpg,119.387,0.0067291259765625,0.08203125,0.08203125,True
52.jpg,119.387,0.0067291259765625,0.08203125,0.08203125,True
53.jpg,119.387,0.0067291259765625,0.08203125,0.08203125,False
